year,sex,age,value
2033,both,49,546.7
2033,both,50,543
2033,both,51,536.4
2033,both,52,536.5
2033,both,53,525.2
2033,both,54,509.9
2033,both,55,498.4
2033,both,56,493.1
2033,both,57,488.2
2033,both,58,483.1
2033,both,59,468.3
2033,both,60,464.3
2033,both,61,466.3
2033,both,62,481.6
2033,both,63,474.6
2033,both,64,467.6
2033,both,65,460.3
2033,both,66,460.8
2033,both,67,479.8
2033,both,68,505.9
2033,both,69,514.9
2033,both,70,513
2033,both,71,497.4
2033,both,72,496.7
2033,both,73,481
2033,both,74,463
2033,both,75,449.5
2033,both,76,430.3
2033,both,77,408.5
2033,both,78,393.4
2033,both,79,367.3
2033,both,80,339.5
2033,both,81,315.2
2033,both,82,296.8
2033,both,83,277.4
2033,both,84,257.8
2033,both,85,242.3
2033,both,86,225
2033,both,87,179
2033,both,88,151.6
2033,both,89,132.2
2033,both,90,112
2033,both,91,90.6
2033,both,92,73.8
2033,both,93,57.8
2033,both,94,45.4
2033,both,95,34.6
2033,both,96,25.6
2033,both,97,19.1
2033,both,98,13.5
2033,both,99,9.3
2033,both,100,17
2034,both,40,566
2034,both,41,569.4
2034,both,42,573.1
2034,both,43,576.1
2034,both,44,575
2034,both,45,558.1
2034,both,46,544.6
2034,both,47,545.2
2034,both,48,551.7
2034,both,49,551.7
2034,both,50,547.1
2034,both,51,542.7
2034,both,52,536.4
2034,both,53,536.1
2034,both,54,524.6
2034,both,55,509.4
2034,both,56,497.6
2034,both,57,492
2034,both,58,487.1
2034,both,59,482
2034,both,60,467
2034,both,61,463
2034,both,62,464.8
2034,both,63,479.9
2034,both,64,472.6
2034,both,65,465.4
2034,both,66,457.8
2034,both,67,457.8
2034,both,68,476.4
2034,both,69,501.9
2034,both,70,510.3
2034,both,71,508
2034,both,72,491.9
2034,both,73,490.5
2034,both,74,474.3
2034,both,75,455.8
2034,both,76,441.5
2034,both,77,421.6
2034,both,78,399.4
2034,both,79,383.4
2034,both,80,356.8
2034,both,81,328.5
2034,both,82,303.6
2034,both,83,284.3
2034,both,84,264
2034,both,85,243.7
2034,both,86,226.9
2034,both,87,208.7
2034,both,88,164
2034,both,89,136.9
2034,both,90,117.3
2034,both,91,97.6
2034,both,92,77.4
2034,both,93,61.7
2034,both,94,47.2
2034,both,95,36.2
2034,both,96,26.9
2034,both,97,19.4
2034,both,98,14
2034,both,99,9.7
2034,both,100,17.2
2035,both,40,566.8
2035,both,41,569.5
2035,both,42,572.2
2035,both,43,575.6
2035,both,44,578.1
2035,both,45,576.8
2035,both,46,559.6
2035,both,47,546.2
2035,both,48,546.4
2035,both,49,552.3
2035,both,50,552.1
2035,both,51,547
2035,both,52,542.9
2035,both,53,536.1
2035,both,54,535.5
2035,both,55,524
2035,both,56,508.8
2035,both,57,496.6
2035,both,58,491
2035,both,59,486
2035,both,60,480.7
2035,both,61,465.7
2035,both,62,461.5
2035,both,63,463.2
2035,both,64,477.9
2035,both,65,470.4
2035,both,66,463
2035,both,67,455
2035,both,68,454.7
2035,both,69,472.9
2035,both,70,497.6
2035,both,71,505.5
2035,both,72,502.5
2035,both,73,485.9
2035,both,74,483.8
2035,both,75,467.1
2035,both,76,448
2035,both,77,432.9
2035,both,78,412.3
2035,both,79,389.4
2035,both,80,372.6
2035,both,81,345.2
2035,both,82,316.5
2035,both,83,290.9
2035,both,84,270.8
2035,both,85,249.6
2035,both,86,228.4
2035,both,87,210.5
2035,both,88,191.2
2035,both,89,148.1
2035,both,90,121.6
2035,both,91,102.2
