year,sex,age,value
2030,both,55,3822849
2030,both,56,3740438
2030,both,57,3777020
2030,both,58,3944396
2030,both,59,4161903
2030,both,60,4083871
2030,both,61,3916950
2030,both,62,3815488
2030,both,63,3808029
2030,both,64,3838989
2030,both,65,3959162
2030,both,66,4022748
2030,both,67,3994526
2030,both,68,3977520
2030,both,69,3936233
2030,both,70,3832361
2030,both,71,3723582
2030,both,72,3652813
2030,both,73,3545232
2030,both,74,3344613
2030,both,75,3220093
2030,both,76,3057487
2030,both,77,2878229
2030,both,78,2716465
2030,both,79,2528901
2030,both,80,2351299
2030,both,81,2221131
2030,both,82,2098337
2030,both,83,2122006
2030,both,84,1441121
2030,both,85,1313997
2030,both,86,1206917
2030,both,87,1143500
2030,both,88,914209
2030,both,89,760724
2030,both,90,641149
2030,both,91,543400
2030,both,92,459709
2030,both,93,368061
2030,both,94,301314
2030,both,95,248192
2030,both,96,185730
2030,both,97,146019
2030,both,98,110789
2030,both,99,81891
2030,both,100,134038
2031,both,40,4828516
2031,both,41,4819676
2031,both,42,4667211
2031,both,43,4566911
2031,both,44,4498533
2031,both,45,4489432
2031,both,46,4471335
2031,both,47,4364378
2031,both,48,4411139
2031,both,49,4388941
2031,both,50,4313196
2031,both,51,4278377
2031,both,52,4091713
2031,both,53,3985842
2031,both,54,3921415
2031,both,55,3776193
2031,both,56,3805412
2031,both,57,3722004
2031,both,58,3756609
2031,both,59,3920897
2031,both,60,4134458
2031,both,61,4054536
2031,both,62,3886285
2031,both,63,3782656
2031,both,64,3772208
2031,both,65,3799425
2031,both,66,3914810
2031,both,67,3974044
2031,both,68,3942510
2031,both,69,3921492
2031,both,70,3875975
2031,both,71,3768255
2031,both,72,3655449
2031,both,73,3579568
2031,both,74,3467223
2031,both,75,3263925
2031,both,76,3134586
2031,both,77,2967927
2031,both,78,2784965
2031,both,79,2618763
2031,both,80,2427357
2031,both,81,2245442
2031,both,82,2108904
2031,both,83,1979500
2031,both,84,1987507
2031,both,85,1340046
2031,both,86,1212155
2031,both,87,1103737
2031,both,88,1035693
2031,both,89,819397
2031,both,90,674025
2031,both,91,560947
2031,both,92,468893
2031,both,93,390767
2031,both,94,307819
2031,both,95,247567
2031,both,96,200099
2031,both,97,146696
2031,both,98,112833
2031,both,99,83638
2031,both,100,139390
2032,both,40,4788416
2032,both,41,4829168
2032,both,42,4819225
2032,both,43,4666428
2032,both,44,4565622
2032,both,45,4496180
2032,both,46,4485119
2032,both,47,4464618
2032,both,48,4355456
2032,both,49,4399533
2032,both,50,4375356
2032,both,51,4298488
2032,both,52,4262630
2032,both,53,4076161
2032,both,54,3970006
2032,both,55,3904838
2032,both,56,3759242
2032,both,57,3786743
2032,both,58,3702203
2032,both,59,3734739
2032,both,60,3895620
2032,both,61,4104979
2032,both,62,4022795
2032,both,63,3853089
2032,both,64,3747280
2032,both,65,3733790
2032,both,66,3757267
2032,both,67,3867782
2032,both,68,3922603
2032,both,69,3887319
2032,both,70,3861834
2032,both,71,3811582
2032,both,72,3699632
2032,both,73,3582522
2032,both,74,3501273
2032,both,75,3383921
2032,both,76,3177736
2032,both,77,3043220
2032,both,78,2872236
2032,both,79,2685351
2032,both,80,2514125
2032,both,81,2318633
2032,both,82,2132630
2032,both,83,1990185
2032,both,84,1854978
2032,both,85,1848206
2032,both,86,1236730
2032,both,87,1109067
2032,both,88,1000242
2032,both,89,928712
2032,both,90,726380
2032,both,91,590055
2032,both,92,484389
2032,both,93,398857
2032,both,94,327062
2032,both,95,253123
2032,both,96,199747
2032,both,97,158197
2032,both,98,113474
2032,both,99,85275
2032,both,100,143974
2033,both,40,4717371
2033,both,41,4789562
2033,both,42,4829095
2033,both,43,4818330
2033,both,44,4665215
2033,both,45,4563414
2033,both,46,4492235
2033,both,47,4478758
2033,both,48,4455700
2033,both,49,4344545
2033,both,50,4386345
2033,both,51,4360698
2033,both,52,4283131
2033,both,53,4246438
2033,both,54,4060211
2033,both,55,3953536
2033,both,56,3887506
2033,both,57,3741256
2033,both,58,3766889
2033,both,59,3681165
2033,both,60,3711359
2033,both,61,3868605
2033,both,62,4073270
2033,both,63,3988652
2033,both,64,3817509
2033,both,65,3709500
2033,both,66,3693001
2033,both,67,3712741
2033,both,68,3818292
2033,both,69,3868258
2033,both,70,3828804
2033,both,71,3798313
2033,both,72,3742893
2033,both,73,3626439
2033,both,74,3504809
2033,both,75,3417860
2033,both,76,3295165
2033,both,77,3085801
2033,both,78,2945765
2033,both,79,2770166
2033,both,80,2578765
2033,both,81,2402166
2033,both,82,2202850
2033,both,83,2013335
2033,both,84,1865803
2033,both,85,1725961
2033,both,86,1705921
2033,both,87,1132122
2033,both,88,1005637
2033,both,89,897500
2033,both,90,823743
2033,both,91,636266
2033,both,92,509860
2033,both,93,412372
2033,both,94,334093
2033,both,95,269181
2033,both,96,204416
2033,both,97,158057
2033,both,98,122505
2033,both,99,85857
2033,both,100,147980
2034,both,40,4681419
2034,both,41,4719132
2034,both,42,4789967
2034,both,43,4828559
2034,both,44,4816995
2034,both,45,4663061
2034,both,46,4559596
2034,both,47,4486240
2034,both,48,4470188
2034,both,49,4444773
2034,both,50,4332063
2034,both,51,4372083
2034,both,52,4345383
2034,both,53,4267322
2034,both,54,4229847
2034,both,55,4043615
2034,both,56,3936304
2034,both,57,3869110
2034,both,58,3722115
2034,both,59,3745788
2034,both,60,3658649
